first_name,middle_name,last_name,thomas_id,twitter_account,state,dw_nominate,ideal_point,party
Robert,C.,Scott,1037,RepBobbyScott,VA,,,D
F.,James,Sensenbrenner,1041,JimPressOffice,WI,,,R
José,E.,Serrano,1042,RepJoseSerrano,NY,,,D
Pete,,Sessions,1525,PeteSessions,TX,,,R
Brad,,Sherman,1526,BradSherman,CA,,,D
John,,Shimkus,1527,RepShimkus,IL,,,R
Louise,M.,Slaughter,1069,LouiseSlaughter,NY,,,D
Adam,,Smith,1528,RepAdamSmith,WA,,,D
Christopher,H.,Smith,1071,RepChrisSmith,NJ,,,R
Lamar,,Smith,1075,LamarSmithTX21,TX,,,R
Jan,,Schakowsky,1588,JanSchakowsky,IL,,,D
Mike,,Simpson,1590,CongMikeSimpson,ID,,,R
Adam,B.,Schiff,1635,RepAdamSchiff,CA,,,D
Bill,,Shuster,1681,RepBillShuster,PA,,,R
Linda,T.,Sanchez,1757,RepLindaSanchez,CA,,,D
David,,Scott,1722,RepDavidScott,GA,,,D
Albio,,Sires,1818,RepSires,NJ,,,D
John,,Sarbanes,1854,RepSarbanes,MD,,,D
Adrian,,Smith,1860,RepAdrianSmith,NE,,,R
Jackie,,Speier,1890,RepSpeier,CA,,,D
Steve,,Scalise,1892,SteveScalise,LA,,,R
Gregorio &#x27;Kilili&#x27;,Camacho,Sablan,1962,,MP,,,I
Aaron,,Schock,1920,AaronSchock,IL,,,R
Kurt,,Schrader,1950,RepSchrader,OR,,,D
David,,Schweikert,1994,RepDavid,AZ,,,R
Terri,,Sewell,1988,RepTerriSewell,AL,,,D
Steve,,Stivers,2047,RepSteveStivers,OH,,,R
Marlin,,Stutzman,1981,RepStutzman,IN,,,R
Austin,,Scott,2009,AustinScottGA08,GA,,,R
Kyrsten,,Sinema,2099,RepSinema,AZ,,,D
Chris,,Stewart,2168,RepChrisStewart,UT,,,R
Eric,,Swalwell,2104,RepSwalwell,CA,,,D
Jason,,Smith,2191,RepJasonSmith,MO,,,R
Elise,,Stefanik,2263,RepStefanik,NY,,,R
Bennie,,Thompson,1151,BennieGThompson,MS,,,D
William,M.,Thornberry,1155,MacTXPress,TX,,,R
Mike,,Thompson,1593,RepThompson,CA,,,D
Pat,,Tiberi,1664,TiberiPress,OH,,,R
Michael,R.,Turner,1741,RepMikeTurner,OH,,,R
Niki,,Tsongas,1884,NikiInTheHouse,MA,,,D
Glenn,,Thompson,1952,CongressmanGT,PA,,,R
Dina,,Titus,1940,RepDinaTitus,NV,,,D
Paul,,Tonko,1942,RepPaulTonko,NY,,,D
Scott,,Tipton,1997,RepTipton,CO,,,R
Mark,,Takano,2110,RepMarkTakano,CA,,,D
Mark,,Takai,2240,RepMarkTakai,HI,,,D
Norma,,Torres,2231,normajtorres,CA,,,D
Dave,,Trott,2250,repdavetrott,MI,,,R
Fred,,Upton,1177,RepFredUpton,MI,,,R
Nydia,M.,Velázquez,1184,NydiaVelazquez,NY,,,D
Peter,J.,Visclosky,1188,RepVisclosky,IN,,,D
Chris,,Van Hollen,1729,ChrisVanHollen,MD,,,D
David,,Valadao,2105,RepDavidValadao,CA,,,R
Juan,,Vargas,2112,RepJuanVargas,CA,,,D
Marc,,Veasey,2166,RepVeasey,TX,,,D
Filemon,,Vela,2167,RepFilemonVela,TX,,,D
Maxine,,Waters,1205,MaxineWaters,CA,,,D
Edward,,Whitfield,1222,RepEdWhitfield,KY,,,R
Greg,,Walden,1596,RepGregWalden,OR,,,R
Joe,,Wilson,1688,RepJoeWilson,SC,,,R
Lynn,,Westmoreland,1779,RepWestmoreland,GA,,,R
Debbie,,Wasserman Schultz,1777,RepDWStweets,FL,,,D
Tim,,Walberg,1855,RepWalberg,MI,,,R
Tim,,Walz,1856,RepTimWalz,MN,,,D
Peter,,Welch,1879,PeterWelch,VT,,,D
Robert,J.,Wittman,1886,RobWittman,VA,,,R
Daniel,,Webster,2002,RepWebster,FL,,,R
Frederica,,Wilson,2004,RepWilson,FL,,,D
Steve,,Womack,1991,Rep_SteveWomack,AR,,,R
Rob,,Woodall,2008,RepRobWoodall,GA,,,R
Ann,,Wagner,2137,RepAnnWagner,MO,,,R
Jackie,,Walorski,2128,RepWalorski,IN,,,R
Randy,,Weber,2161,TXRandy14,TX,,,R
Brad,,Wenstrup,2152,RepBradWenstrup,OH,,,R
Roger,,Williams,2165,RepRWilliams,TX,,,R
Mark,,Walker,2255,RepMarkWalker,NC,,,R
Mimi,,Walters,2232,repmimiwalters,CA,,,R
Bruce,,Westerman,2224,RepWesterman,AR,,,R
Bonnie,,Watson Coleman,2259,RepBWColeman,NJ,,,D
Don,,Young,1256,RepDonYoung,AK,,,R
John,,Yarmuth,1853,RepJohnYarmuth,KY,,,D
Kevin,,Yoder,2021,RepKevinYoder,KS,,,R
Todd,,Young,2019,RepToddYoung,IN,,,R
Ted,,Yoho,2115,RepTedYoho,FL,,,R
David,,Young,2242,RepDavidYoung,IA,,,R
Lee,,Zeldin,2261,RepLeeZeldin,NY,,,R
Ryan,,Zinke,2254,RepRyanZinke,MT,,,R
Lamar,,Alexander,1695,SenAlexander,TN,,,R
Kelly,,Ayotte,2075,KellyAyotte,NH,,,R
Roy,,Blunt,1464,RoyBlunt,MO,,,R
Barbara,,Boxer,116,SenatorBoxer,CA,,,D
Sherrod,,Brown,136,SenSherrodBrown,OH,,,D
Richard,M.,Burr,153,SenatorBurr,NC,,,R
Tammy,,Baldwin,1558,SenatorBaldwin,WI,,,D
John,,Boozman,1687,JohnBoozman,AR,,,R
John,,Barrasso,1881,SenJohnBarrasso,WY,,,R
Michael,,Bennet,1965,SenBennetCo,CO,,,D
Richard,,Blumenthal,2076,SenBlumenthal,CT,,,D
Cory,,Booker,2194,CoryBooker,NJ,,,D
Maria,,Cantwell,172,CantwellPress,WA,,,D
Benjamin,L.,Cardin,174,SenatorCardin,MD,,,D
Thomas,R.,Carper,179,SenatorCarper,DE,,,D
Daniel,,Coats,209,SenDanCoats,IN,,,R
Thad,,Cochran,213,SenThadCochran,MS,,,R
Michael,D.,Crapo,250,MikeCrapo,ID,,,R
Susan,,Collins,1541,SenatorCollins,ME,,,R
Shelley,Moore,Capito,1676,SenCapito,WV,,,R
John,,Cornyn,1692,JohnCornyn,TX,,,R
Bob,,Casey,1828,SenBobCasey,PA,,,D
Bob,,Corker,1825,SenBobCorker,TN,,,R
Bill,,Cassidy,1925,BillCassidy,LA,,,R
Christopher,A.,Coons,1984,SenCoonsOffice,DE,,,D
Tom,,Cotton,2098,SenTomCotton,AR,,,R
Ted,,Cruz,2175,SenTedCruz,TX,,,R
Richard,J.,Durbin,326,SenatorDurbin,IL,,,D
Joe,,Donnelly,1850,SenDonnelly,IN,,,D
